id,gender,age,spend
1271,M,22,185.05
1272,M,20,52.87
1273,F,40,37.45
1274,M,18,88.5
1275,F,23,200.08
1276,M,84,235.01
1277,F,88,78.87
1278,F,99,262.34
1279,M,78,129.18
1280,F,23,271.85
1281,F,46,45.85
1282,F,45,266.35
1283,M,19,251.53
1284,F,23,123.82
1285,M,96,273.74
1286,M,33,5.84
1287,F,86,8.01
1288,F,74,119.97
1289,F,72,186.31
1290,F,18,129.95
1291,F,19,267.64
1292,F,56,126.75
1293,F,69,219.63
1294,M,44,232.16
1295,F,19,40.83
1296,M,87,258.92
1297,F,18,13.94
1298,F,35,22.24
1299,F,52,6.62
1300,F,68,78.16
1301,M,38,137.65
1302,M,35,191.3
1303,F,24,218.16
1304,F,35,221.38
1305,F,44,219.36
1306,M,42,221.08
1307,F,76,122.61
1308,F,21,261.2
1309,F,18,259.15
1310,F,23,26.28
1311,F,30,80.72
1312,M,42,145.88
1313,F,67,164.47
1314,F,83,131.86
1315,F,40,173.67
1316,F,20,200.51
1317,F,20,165.31
1318,F,19,103.99
1319,F,19,34.4
1320,F,62,201.48
1321,F,52,98.82
1322,F,51,58.66
1323,F,30,99.37
1324,F,50,42.97
1325,F,20,268.29
1326,F,66,168.84
1327,M,53,243.27
1328,F,20,254.11
1329,F,25,55.2
1330,M,25,63.26
1331,F,62,183.54
1332,F,25,66.9
1333,F,76,168.66
1334,F,40,94.89
1335,M,18,177.55
1336,F,44,182.25
1337,F,94,212.94
1338,F,41,97.09
1339,F,24,45.58
1340,F,29,100.23
1341,F,30,134.58
1342,M,50,271.31
1343,F,24,246.9
1344,M,51,19.53
1345,M,22,298.16
1346,F,41,136.41
1347,F,51,278.61
1348,F,26,32.39
1349,F,83,290.65
1350,M,64,182.51
1351,M,24,160.29
1352,F,20,250.5
1353,F,69,52.98
1354,F,45,174.37
1355,M,32,88.33
1356,F,41,299.74
1357,F,53,179.72
1358,F,93,182.3
1359,F,20,52.75
1360,F,18,276.05
1361,F,24,285.43
1362,M,41,208.77
1363,F,53,12.69
1364,M,79,265.19
1365,F,39,285.59
1366,F,85,186.5
1367,F,42,8.38
1368,F,44,45.63
1369,M,70,209.07
1370,F,36,147.94
1371,F,99,79.85
1372,M,98,48.93
1373,M,49,161.93
1374,F,75,109.37
1375,F,42,298.0
1376,F,31,133.29
1377,F,19,228.01
1378,F,76,180.5
1379,M,22,57.8
1380,M,23,26.2
1381,F,22,87.74
1382,M,97,215.52
1383,M,23,235.51
1384,F,50,209.05
1385,F,88,219.04
1386,M,24,192.83
1387,F,22,184.34
1388,F,21,230.83
1389,F,51,235.58
1390,F,82,104.81
1391,M,64,28.92
1392,F,68,160.01
1393,M,18,227.13
1394,F,20,262.38
1395,F,23,34.78
1396,F,79,280.0
1397,M,34,31.1
1398,F,18,278.57
1399,M,57,73.39
1400,F,27,80.63
1401,M,92,52.31
1402,F,33,221.77
1403,F,24,157.26
1404,F,54,157.43
1405,F,34,145.29
1406,M,20,182.84
1407,M,64,66.18
1408,M,78,40.09
1409,M,20,174.25
1410,M,53,22.17
1411,M,65,68.41
1412,F,21,162.86
1413,F,57,297.35
1414,F,33,281.69
1415,F,92,61.59
1416,M,54,83.76
1417,F,33,151.12
1418,F,23,80.52
1419,F,18,238.54
1420,F,28,185.14
1421,M,52,25.18
1422,F,43,242.44
1423,F,20,145.15
1424,M,59,220.81
1425,F,21,106.47
1426,F,25,173.15
1427,F,20,109.13
1428,F,18,215.16
1429,M,43,35.37
1430,M,36,293.62
1431,F,53,231.04
1432,F,34,197.57
1433,M,52,283.11
1434,F,21,80.25
1435,F,20,96.19
1436,M,23,151.15
1437,F,22,130.49
1438,F,46,217.49
1439,F,85,112.64
1440,M,45,290.57
1441,F,99,130.63
1442,F,22,264.56
1443,M,24,17.42
1444,M,32,250.11
1445,M,94,203.73
1446,F,73,237.59
1447,F,50,261.98
1448,F,34,284.46
1449,F,49,201.69
1450,F,41,265.66
1451,F,23,279.44
1452,M,18,291.0
1453,F,22,75.29
1454,F,75,208.05
1455,F,19,87.94
1456,F,52,192.99
1457,F,18,236.16
1458,F,42,168.03
1459,M,92,160.63
1460,F,18,197.22
1461,F,21,71.71
1462,F,20,233.75
1463,F,19,240.55
1464,M,29,263.6
1465,F,23,50.54
1466,M,19,277.55
1467,F,68,160.3
1468,M,20,234.46
1469,F,18,116.75
1470,F,53,259.67
1471,F,19,27.0
1472,F,85,138.96
1473,M,40,151.57
1474,F,24,166.82
1475,F,75,40.3
1476,F,22,86.95
1477,F,19,271.21
1478,F,98,281.85
1479,F,42,269.29
1480,M,58,272.29
1481,F,20,268.78
1482,F,20,247.96
1483,F,29,152.62
1484,M,82,292.51
1485,F,35,247.85
1486,M,25,183.07
1487,M,46,154.78
1488,M,49,276.76
1489,F,18,14.77
1490,M,75,70.26
1491,F,41,34.74
1492,F,58,199.91
1493,F,74,106.02
1494,F,50,40.06
1495,M,79,168.53
1496,F,19,217.87
1497,F,54,107.37
1498,F,53,19.82
1499,M,26,208.94
1500,M,62,200.48
1501,F,20,126.76
1502,F,19,187.34
1503,F,70,25.1
1504,F,24,16.97
1505,F,50,250.87
1506,M,60,5.41
1507,F,31,290.63
1508,F,21,258.72
1509,F,24,197.83
1510,F,45,136.19
1511,F,24,159.69
1512,F,18,176.64
1513,F,79,251.14
1514,F,53,6.36
1515,F,23,6.01
1516,F,30,282.46
1517,M,94,234.6
1518,M,48,215.67
1519,F,28,252.61
1520,M,97,89.89
1521,F,36,196.54
1522,F,20,255.83
1523,F,24,299.56
1524,F,83,269.18
1525,F,81,241.98
1526,F,21,273.27
1527,F,42,151.89
1528,M,55,175.92
1529,F,18,32.7
1530,F,51,170.22
1531,F,41,284.12
1532,M,18,120.65
1533,F,50,143.65
1534,F,21,165.57
1535,M,20,150.81
1536,F,20,48.87
1537,F,39,173.98
1538,F,22,157.84
1539,M,62,245.54
1540,F,22,250.47
1541,F,70,52.73
1542,F,48,288.32
1543,F,22,284.92
1544,M,69,99.47
1545,M,24,93.68
1546,M,26,218.76
1547,F,22,17.14
1548,F,18,171.24
1549,F,30,240.64
1550,F,18,55.36
1551,F,31,54.38
1552,M,21,78.74
1553,M,93,37.59
1554,F,47,257.73
1555,F,37,10.33
1556,F,86,69.13
1557,F,68,177.1
1558,M,72,168.76
1559,F,70,145.52
1560,F,87,194.12
1561,F,54,189.85
1562,M,52,292.97
1563,F,53,140.52
1564,M,46,135.61
1565,F,62,299.64
1566,M,19,13.87
1567,M,38,6.15
1568,M,40,6.94
1569,M,22,167.0
1570,F,78,110.98
1571,F,63,99.75
1572,F,26,58.64
1573,F,53,14.71
1574,M,20,275.18
1575,F,18,210.36
1576,M,40,251.78
1577,M,49,127.94
1578,M,21,210.89
1579,F,35,22.61
1580,F,37,193.8
1581,M,30,233.78
1582,F,30,40.88
1583,F,29,109.74
1584,F,24,160.35
1585,F,43,178.9
1586,F,49,131.45
1587,M,24,58.4
1588,F,94,98.44
1589,F,24,114.68
1590,F,40,70.36
1591,M,64,120.84
1592,M,46,93.02
1593,F,96,272.21
1594,F,21,147.17
1595,F,41,194.26
1596,F,18,148.0
1597,M,23,215.74
1598,M,91,299.07
1599,F,77,183.15
1600,F,29,276.21
1601,M,24,98.91
1602,F,88,281.67
1603,F,50,104.33
1604,F,22,45.57
1605,F,20,241.0
1606,F,18,239.31
1607,F,35,230.69
1608,F,51,231.5
1609,F,19,198.47
1610,F,44,137.05
1611,F,66,221.0
1612,F,55,67.4
1613,F,19,13.22
1614,M,38,34.59
1615,F,73,200.81
1616,F,34,243.24
1617,M,96,229.32
1618,M,39,187.45
1619,F,64,222.81
1620,F,18,289.42
1621,F,22,167.3
1622,F,20,121.19
1623,F,18,171.73
1624,F,96,217.6
1625,F,92,264.61
1626,F,43,148.59
1627,F,25,70.02
1628,F,45,148.32
1629,M,39,251.45
1630,F,67,154.74
1631,F,74,8.53
1632,M,20,189.57
1633,F,24,292.37
1634,M,18,246.45
1635,F,22,29.94
1636,F,29,186.0
1637,F,26,58.64
1638,M,78,297.23
1639,F,24,286.3
1640,M,20,159.71
1641,F,93,147.12
1642,M,95,221.31
1643,M,20,174.17
1644,F,91,275.0
1645,F,90,210.28
1646,F,76,272.06
1647,F,49,123.83
1648,F,25,211.83
1649,F,36,198.55
1650,F,39,13.57
1651,F,38,44.53
1652,F,45,226.12
1653,F,78,185.8
1654,M,23,40.99
1655,M,62,296.37
1656,F,62,120.16
1657,F,86,286.72
1658,M,24,165.12
1659,F,18,41.77
1660,F,20,102.68
1661,F,25,86.0
1662,F,26,208.87
1663,F,69,86.42
1664,F,20,234.64
1665,F,34,160.44
1666,F,47,105.21
1667,F,34,39.55
1668,F,52,268.72
1669,F,37,274.59
1670,M,34,149.87
1671,M,27,255.47
1672,M,70,270.45
1673,M,45,130.63
1674,F,30,157.91
1675,F,58,224.44
1676,M,24,64.15
1677,M,85,47.27
1678,F,33,224.62
1679,F,22,176.83
1680,F,49,17.2
1681,F,21,77.48
1682,F,40,208.43
1683,F,42,111.57
1684,F,84,23.12
1685,F,48,276.7
1686,F,39,287.64
1687,F,29,120.6
1688,F,23,258.71
1689,M,20,23.29
1690,F,25,148.16
1691,M,36,214.32
1692,F,18,141.11
1693,M,21,136.05
1694,M,19,128.48
1695,M,22,9.88
1696,F,42,110.04
1697,F,27,107.4
1698,M,21,217.49
1699,F,22,125.09
1700,F,44,80.7
1701,F,92,22.45
1702,F,23,85.67
1703,F,29,274.98
1704,F,30,187.82
1705,F,24,36.16
1706,F,54,197.06
1707,F,74,190.69
1708,M,40,78.83
1709,F,24,112.74
1710,F,61,288.93
1711,M,21,150.55
1712,F,57,242.5
1713,M,18,27.44
1714,M,98,86.3
1715,F,18,280.18
1716,F,63,106.13
1717,F,40,280.53
1718,F,24,219.87
1719,F,19,17.64
1720,F,19,53.64
1721,F,66,165.88
1722,F,18,129.59
1723,M,24,12.67
1724,F,28,46.57
1725,F,39,86.33
1726,M,24,37.04
1727,F,18,228.98
1728,F,47,267.76
1729,F,45,135.22
1730,F,20,48.0
1731,F,40,217.57
1732,M,18,201.39
1733,F,35,267.16
1734,M,18,136.15
1735,M,51,51.7
1736,F,66,234.35
1737,F,18,7.9
1738,F,76,281.65
1739,F,22,101.87
1740,F,25,47.92
1741,F,50,37.88
1742,F,93,188.39
1743,F,99,69.39
1744,F,52,38.16
1745,F,20,47.95
1746,F,61,49.63
1747,M,20,132.61
1748,F,28,287.99
1749,M,18,203.61
1750,M,18,288.99
1751,M,62,247.4
1752,F,21,140.85
1753,M,45,17.69
1754,F,37,19.65
1755,M,44,27.54
1756,F,85,23.53
1757,F,19,249.27
1758,F,43,206.58
1759,F,89,168.94
1760,F,87,186.21
1761,F,37,40.55
1762,F,65,34.92
1763,F,22,286.38
1764,F,26,52.98
1765,M,19,149.94
1766,M,18,92.09
1767,F,19,157.29
1768,F,87,258.33
1769,F,47,28.18
1770,F,20,52.91
1771,M,47,188.06
1772,F,31,132.6
1773,F,18,78.7
1774,F,82,101.5
1775,M,41,217.25
1776,F,24,105.94
1777,F,47,284.09
1778,F,33,11.2
1779,F,90,28.39
1780,M,26,137.73
1781,F,68,77.32
1782,F,38,33.39
1783,M,25,60.68
1784,M,21,153.65
1785,F,24,270.37
1786,F,44,89.64
1787,M,22,61.57
1788,F,64,261.86
1789,F,18,28.68
1790,F,40,240.49
1791,M,23,159.9
1792,M,53,135.37
1793,F,46,140.44
1794,F,21,43.26
1795,M,86,14.86
1796,M,50,62.88
1797,M,35,173.86
1798,F,51,49.95
1799,F,19,53.86
1800,F,60,68.68
1801,M,18,69.15
1802,F,89,262.93
1803,M,32,237.55
1804,F,96,19.98
1805,M,64,73.29
1806,F,18,49.95
1807,M,51,95.87
1808,F,47,202.27
1809,M,39,60.66
1810,F,56,69.76
1811,F,23,223.24
1812,M,19,41.39
1813,F,20,27.4
1814,M,73,108.52
1815,F,53,183.3
1816,F,37,277.71
1817,F,50,102.23
1818,F,27,178.45
1819,F,30,247.39
1820,F,29,32.36
1821,F,57,159.19
1822,F,41,236.93
1823,F,22,242.75
1824,M,19,167.01
1825,F,54,51.4
1826,F,69,136.43
1827,M,19,191.8
1828,M,23,176.0
1829,M,36,69.87
1830,F,40,89.71
1831,F,92,277.91
1832,M,44,37.7
1833,M,20,214.68
1834,F,24,238.63
1835,F,19,122.31
1836,F,85,94.46
1837,M,84,154.71
1838,F,20,160.48
1839,F,24,221.67
1840,F,22,34.33
1841,M,19,290.39
1842,F,60,290.24
1843,M,54,159.18
1844,F,91,85.03
1845,F,49,180.66
1846,F,60,165.12
1847,F,49,165.55
1848,F,79,26.05
1849,M,24,31.49
1850,M,18,242.27
1851,M,54,55.84
1852,F,32,11.28
1853,F,26,14.91
1854,M,24,277.25
1855,F,21,271.99
1856,F,18,187.99
1857,M,33,116.85
1858,M,59,26.86
1859,F,20,106.56
1860,M,19,7.05
1861,F,40,14.68
1862,M,94,87.55
1863,M,18,41.7
1864,F,50,160.75
1865,F,24,264.71
1866,F,24,97.88
1867,M,24,135.25
1868,F,47,88.19
1869,F,24,135.56
1870,F,18,85.26
1871,F,45,190.79
1872,F,46,289.94
1873,F,39,187.57
1874,F,22,200.61
1875,F,85,296.23
1876,F,19,65.43
1877,F,24,211.5
1878,F,23,206.34
1879,F,21,22.27
1880,F,21,299.94
1881,M,76,90.49
1882,F,22,37.98
1883,F,19,181.55
1884,F,24,48.73
1885,F,66,298.3
1886,F,18,170.8
1887,F,26,153.78
1888,F,19,228.24
1889,F,20,256.53
1890,M,24,284.09
1891,F,21,191.34
1892,F,95,14.29
1893,M,19,210.48
1894,M,79,43.55
1895,F,18,279.52
1896,F,95,240.01
1897,F,41,161.95
1898,F,54,109.71
1899,F,53,297.27
1900,M,34,203.28
1901,M,93,210.73
1902,M,73,187.54
1903,M,94,265.08
1904,M,43,68.08
1905,M,37,225.72
1906,F,19,10.86
1907,F,53,189.75
1908,M,98,144.55
1909,F,55,94.24
1910,F,23,87.04
1911,F,45,226.58
1912,F,43,144.26
1913,F,67,89.19
1914,F,39,169.58
1915,F,31,17.15
1916,F,35,125.73
1917,F,53,57.33
1918,F,22,72.42
1919,M,40,35.0
1920,F,22,232.48
1921,M,19,63.46
1922,F,35,257.09
1923,F,47,123.18
1924,F,88,5.18
1925,M,43,100.62
1926,M,18,112.59
1927,F,24,118.5
1928,M,21,188.53
1929,F,19,263.76
1930,F,96,270.88
1931,M,26,62.03
1932,F,48,105.83
1933,F,62,83.9
1934,M,33,30.62
1935,F,47,61.13
1936,F,28,219.5
1937,F,85,28.66
1938,F,23,149.04
1939,F,46,7.19
1940,M,23,62.01
1941,F,24,281.98
1942,F,20,41.2
1943,M,21,270.3
1944,F,20,156.44
1945,F,19,192.17
1946,M,24,269.5
1947,F,21,133.94
1948,F,48,63.12
1949,F,48,70.93
1950,F,28,158.89
1951,M,99,163.15
1952,F,64,108.92
1953,F,60,97.85
1954,F,24,273.88
1955,F,30,263.48
1956,F,21,293.29
1957,F,75,66.64
1958,F,27,232.02
1959,F,56,271.31
1960,M,40,296.08
1961,M,19,171.47
1962,F,37,294.59
1963,F,21,145.7
1964,M,27,183.09
1965,F,36,80.81
1966,F,38,76.96
1967,F,76,277.41
1968,F,44,125.19
1969,F,19,262.35
1970,F,19,241.9
1971,F,75,148.53
1972,F,22,247.52
1973,F,25,245.95
1974,F,50,265.76
1975,F,61,136.63
1976,F,92,144.18
1977,M,19,237.6
1978,M,18,199.48
1979,M,24,255.1
1980,F,23,206.29
1981,M,24,216.23
1982,F,38,77.3
1983,F,35,28.1
1984,M,26,67.04
1985,M,22,46.95
1986,M,58,222.2
1987,F,24,24.31
1988,F,84,254.58
1989,F,51,289.99
1990,F,53,7.75
1991,F,47,87.19
1992,F,21,229.24
1993,F,19,213.3
1994,F,35,277.3
1995,F,53,64.28
1996,F,56,92.37
1997,F,57,52.63
1998,F,48,32.34
1999,F,21,147.33
2000,F,36,199.92
2001,M,95,182.12
2002,F,45,31.59
2003,F,59,136.31
2004,F,21,239.47
2005,M,21,280.1
2006,M,40,109.67
2007,F,21,76.37
2008,F,68,163.15
2009,F,79,187.96
2010,F,47,225.03
2011,F,69,99.18
2012,F,18,217.27
2013,M,84,91.74
2014,F,22,64.53
2015,F,87,86.58
2016,F,18,178.52
2017,F,56,159.95
2018,M,42,82.66
2019,F,26,91.34
2020,M,29,82.83
2021,F,24,172.52
2022,F,49,81.18
2023,F,50,150.47
2024,M,77,84.95
2025,F,21,25.68
2026,M,43,236.17
2027,F,20,149.7
2028,F,58,73.3
2029,M,36,184.04
2030,F,49,10.49
2031,F,21,276.09
2032,F,54,234.47
2033,F,99,29.97
2034,M,25,264.97
2035,M,45,148.56
2036,F,86,263.92
2037,F,69,261.44
2038,M,20,230.27
2039,F,91,235.42
2040,F,79,157.61
2041,F,23,199.77
2042,F,21,62.52
2043,F,20,209.4
2044,F,86,281.34
2045,F,20,50.23
2046,F,32,191.95
2047,F,23,94.78
2048,F,59,226.03
2049,F,95,254.81
2050,F,85,131.58
2051,F,21,107.02
2052,F,19,193.33
2053,F,24,229.21
2054,F,76,30.82
2055,F,21,24.01
2056,M,38,286.36
2057,M,38,201.37
2058,M,22,205.7
2059,F,21,198.45
2060,F,57,230.83
2061,F,36,224.86
2062,M,37,72.72
2063,F,73,256.31
2064,F,77,172.21
2065,M,84,165.68
2066,F,55,130.0
2067,M,24,28.94
2068,F,19,129.07
2069,F,21,249.25
2070,F,28,126.3
2071,F,31,10.39
2072,F,50,109.13
2073,F,35,161.33
2074,M,74,11.51
2075,F,20,44.32
2076,F,21,141.4
2077,M,53,169.5
2078,F,24,104.4
2079,M,30,244.4
2080,F,38,168.59
2081,F,38,233.13
2082,F,23,136.4
2083,M,60,163.13
2084,M,35,35.64
2085,M,23,33.35
2086,F,40,292.3
2087,F,33,166.49
2088,F,24,46.03
2089,M,25,286.15
2090,F,25,293.87
2091,F,18,175.03
2092,F,49,219.8
2093,F,20,206.31
2094,F,45,55.68
2095,F,94,274.76
2096,F,23,280.51
2097,F,21,201.56
2098,F,34,23.04
2099,F,48,183.11
2100,F,36,190.6
2101,M,24,75.47
2102,F,20,289.9
2103,M,20,209.11
2104,F,82,221.36
2105,F,18,185.91
2106,M,22,273.21
2107,F,24,264.76
2108,F,19,227.64
2109,F,18,266.98
2110,F,18,137.4
2111,F,21,181.47
2112,M,22,207.49
2113,F,75,70.3
2114,F,63,285.77
2115,F,21,167.18
2116,F,71,163.25
2117,F,23,15.16
2118,F,19,139.73
2119,F,86,243.14
2120,M,20,228.42
2121,F,18,150.93
2122,F,22,193.1
2123,M,23,189.79
2124,M,29,70.28
2125,F,18,241.03
2126,F,48,240.94
2127,F,99,43.96
2128,F,22,117.43
2129,F,22,6.02
2130,F,50,178.13
2131,M,76,297.69
2132,F,44,117.36
2133,F,22,68.67
2134,F,82,41.08
2135,F,23,148.17
2136,F,33,182.01
2137,M,19,229.53
2138,M,47,295.15
2139,M,96,74.19
2140,F,27,216.44
2141,F,64,175.43
2142,F,60,61.06
2143,M,24,225.76
2144,M,33,272.96
2145,F,28,227.29
2146,F,21,240.24
2147,M,43,161.62
2148,F,36,258.27
2149,F,84,287.68
2150,F,31,195.19
2151,F,86,132.38
2152,M,19,273.31
2153,F,79,188.3
2154,F,48,159.84
2155,F,47,193.42
2156,F,39,247.62
2157,F,21,177.04
2158,F,18,211.9
2159,F,18,295.08
2160,M,40,130.23
2161,F,19,43.72
2162,F,90,177.85
2163,F,66,143.98
2164,F,39,264.73
2165,M,21,129.46
2166,M,44,136.97
2167,F,52,262.31
2168,F,25,83.64
2169,M,86,257.45
2170,F,22,171.9
2171,M,94,17.0
2172,M,44,51.13
2173,F,97,86.42
2174,M,99,154.52
2175,F,63,150.15
2176,F,40,39.84
2177,M,42,36.12
2178,F,18,236.04
2179,F,19,58.17
2180,F,53,259.43
2181,F,68,66.32
2182,M,88,87.43
2183,F,18,222.51
2184,F,55,285.62
2185,F,19,281.5
2186,M,71,133.72
2187,F,20,214.98
2188,F,26,286.65
2189,M,19,84.88
2190,M,57,63.22
2191,F,78,167.29
2192,F,55,25.95
2193,F,35,195.95
2194,F,24,81.74
2195,F,39,238.03
2196,F,51,289.66
2197,M,40,123.02
2198,F,78,113.06
2199,F,23,154.92
2200,F,23,170.57
2201,F,35,234.11
2202,F,19,139.99
2203,F,19,135.45
2204,F,92,243.75
2205,M,76,119.3
2206,M,30,251.48
2207,F,65,138.43
2208,F,22,280.38
2209,F,97,102.25
2210,F,52,248.81
2211,F,20,63.82
2212,F,24,281.44
2213,F,22,145.16
2214,F,58,289.55
2215,F,24,132.72
2216,F,39,278.01
2217,F,60,140.12
2218,F,18,86.25
2219,F,23,205.8
2220,F,93,193.11
2221,F,20,67.82
2222,M,22,65.36
2223,M,50,64.84
2224,M,87,19.44
2225,F,18,12.71
2226,F,31,40.11
2227,F,18,117.42
2228,F,31,64.54
2229,F,19,148.76
2230,F,19,195.83
2231,M,33,102.24
2232,M,83,61.45
2233,F,32,72.41
2234,F,48,43.52
2235,F,31,211.4
2236,M,30,189.89
2237,F,86,200.0
2238,F,63,224.51
2239,F,23,210.39
2240,F,92,95.81
2241,F,39,190.71
2242,M,22,241.65
2243,F,34,258.4
2244,M,52,252.57
2245,F,52,80.93
2246,F,24,247.61
2247,F,24,181.33
2248,F,68,125.8
2249,M,80,234.02
2250,F,23,148.12
2251,F,28,181.16
2252,F,20,118.96
2253,F,61,113.49
2254,M,91,158.6
2255,M,43,149.68
2256,F,23,216.29
2257,F,32,268.14
2258,F,84,269.13
2259,F,27,10.14
2260,F,65,165.82
2261,M,24,104.65
2262,F,49,204.57
2263,F,23,33.87
2264,M,21,147.69
2265,F,34,71.09
2266,F,21,227.0
2267,M,97,137.21
2268,F,22,232.88
2269,F,22,255.55
2270,M,38,147.15
2271,F,28,244.19
2272,F,96,264.32
2273,F,55,67.75
2274,F,22,130.16
2275,M,39,119.58
2276,F,18,255.84
2277,F,21,188.66
2278,F,59,159.75
2279,M,59,259.94
2280,M,28,211.91
2281,F,44,71.58
2282,M,59,213.24
2283,F,20,59.15
2284,F,23,195.47
2285,F,23,97.32
2286,M,19,273.78
2287,F,20,267.71
2288,F,22,215.47
2289,F,18,258.46
2290,M,40,292.36
2291,M,23,150.9
2292,F,69,297.19
2293,M,19,64.49
2294,F,62,263.27
2295,M,57,229.32
2296,M,49,96.23
2297,M,25,190.55
2298,F,21,215.28
2299,M,58,268.15
2300,M,51,73.98
2301,F,48,16.42
2302,M,18,237.52
2303,F,20,261.17
2304,F,18,206.9
2305,M,19,142.71
2306,F,19,257.43
2307,F,54,195.25
2308,F,21,104.04
2309,F,19,9.85
2310,F,51,124.18
2311,F,20,151.31
2312,F,21,103.28
2313,F,33,143.21
2314,M,24,77.62
2315,M,28,32.97
2316,F,75,49.09
2317,F,95,153.25
2318,F,41,249.41
2319,F,95,149.12
2320,F,23,182.66
2321,F,23,161.61
2322,F,20,61.92
2323,M,45,223.47
2324,F,33,280.9
2325,M,72,88.74
2326,M,19,173.58
2327,M,56,200.75
2328,F,49,223.45
2329,F,42,108.54
2330,M,18,31.48
2331,M,30,75.05
2332,F,94,158.54
2333,F,48,248.24
2334,F,60,146.24
2335,M,19,269.43
2336,F,47,54.19
2337,F,51,279.71
2338,F,18,199.03
2339,F,19,236.27
2340,F,47,48.08
2341,M,20,285.01
2342,F,18,298.23
2343,M,29,66.03
2344,M,21,178.57
2345,F,42,64.02
2346,F,23,57.58
2347,F,19,202.12
2348,F,55,274.64
2349,M,25,121.0
2350,F,63,98.41
2351,M,22,138.3
2352,M,88,289.48
2353,F,28,257.98
2354,M,18,122.26
2355,F,48,251.58
2356,F,19,31.42
2357,F,98,7.21
2358,F,82,291.04
2359,F,19,290.64
2360,M,29,191.67
2361,F,89,15.6
2362,F,58,38.22
2363,F,22,283.01
2364,F,22,11.37
2365,M,68,26.77
2366,F,56,254.43
2367,F,38,150.5
2368,F,21,247.41
2369,M,43,87.81
2370,M,77,126.21
2371,F,37,222.22
2372,M,47,269.75
2373,F,43,277.33
2374,F,62,14.51
2375,F,74,230.41
2376,M,26,196.23
2377,F,90,197.34
2378,M,40,72.43
2379,F,73,77.24
2380,F,22,252.07
2381,F,21,296.63
2382,F,34,79.55
2383,F,21,21.76
2384,M,28,124.78
2385,M,28,208.37
2386,F,24,44.95
2387,F,22,207.68
2388,F,71,161.57
2389,F,21,289.74
2390,M,57,50.54
2391,M,21,77.24
2392,M,35,189.74
2393,F,54,44.87
2394,F,54,264.95
2395,F,80,41.6
2396,M,41,166.94
2397,F,34,53.53
2398,F,90,215.11
2399,F,20,69.64
2400,F,39,177.52
2401,F,24,229.26
2402,F,38,188.1
2403,F,31,45.33
2404,F,22,184.9
2405,F,19,121.47
2406,F,24,142.67
2407,F,98,260.19
2408,F,20,34.71
2409,F,69,234.38
2410,F,23,161.34
2411,F,38,19.86
2412,F,23,285.82
2413,M,31,73.04
2414,M,22,272.49
2415,M,24,296.19
2416,M,18,57.58
2417,M,83,91.9
2418,M,20,139.55
2419,F,22,259.61
2420,F,29,103.0
2421,F,92,283.75
2422,F,97,293.36
2423,F,24,15.16
2424,F,90,260.54
2425,M,80,110.41
2426,M,38,267.78
2427,M,28,47.13
2428,F,23,264.62
2429,F,20,226.61
2430,F,50,89.44
2431,F,73,140.28
2432,F,53,148.09
2433,M,29,25.38
2434,F,24,49.44
2435,F,34,272.41
2436,F,19,186.88
2437,M,18,244.15
2438,F,80,241.33
2439,F,88,179.78
2440,F,65,88.64
2441,F,96,268.01
2442,F,31,269.46
2443,F,26,141.48
2444,F,96,172.05
2445,F,71,133.11
2446,F,22,10.61
2447,F,61,43.98
2448,F,24,290.72
2449,F,21,299.67
2450,F,60,291.28
2451,F,22,293.61
2452,F,23,81.67
2453,F,57,50.46
2454,F,71,285.54
2455,F,82,89.0
2456,F,19,49.36
2457,F,24,157.28
2458,M,23,278.91
2459,F,53,68.88
2460,F,31,27.83
2461,M,38,47.38
2462,F,24,189.84
2463,F,46,27.76
2464,F,20,238.04
2465,F,20,200.99
2466,F,19,224.9
2467,F,53,219.16
2468,F,97,143.64
2469,M,24,271.73
2470,F,18,85.25
2471,F,20,172.57
2472,M,27,80.31
2473,F,35,225.04
2474,F,92,107.48
2475,F,21,134.54
2476,F,30,294.53
2477,F,44,119.83
2478,M,78,205.54
2479,F,20,176.89
2480,F,72,22.81
2481,F,99,60.68
2482,F,18,95.23
2483,M,18,203.9
2484,F,43,31.05
2485,F,25,202.92
2486,M,74,182.24
2487,F,85,259.84
2488,M,22,149.67
2489,M,47,289.13
2490,F,85,242.38
2491,F,24,6.2
2492,F,27,291.1
2493,F,39,38.14
2494,F,29,218.7
2495,F,40,22.92
2496,F,87,267.3
2497,F,20,101.94
2498,F,24,39.35
2499,F,28,250.99
2500,F,63,159.45
2501,F,22,233.46
2502,M,40,22.49
2503,F,29,177.99
2504,F,58,250.52
2505,F,20,290.93
2506,M,23,127.38
2507,M,46,258.17
2508,M,50,22.14
2509,F,51,232.11
2510,F,44,201.94
2511,M,22,214.94
2512,M,52,121.01
2513,F,24,160.83
2514,F,33,293.65
2515,F,41,154.1
2516,F,42,31.18
2517,F,28,239.78
2518,M,44,160.36
2519,F,18,62.13
2520,F,49,270.54
2521,M,20,33.76
2522,M,63,240.81
2523,F,18,6.33
2524,F,47,187.63
2525,F,21,25.96
2526,F,92,173.07
2527,M,23,115.66
2528,F,19,236.12
2529,F,33,201.59
2530,M,19,285.57
2531,M,20,80.16
2532,M,24,156.32
2533,F,50,100.48
2534,M,26,182.64
2535,F,22,163.15
2536,M,96,224.83
2537,F,25,297.16
2538,F,19,74.92
2539,M,88,290.47
2540,F,96,165.84
2541,M,34,120.93
